0.100	803.446	428.291	619.428	868.281	853.678
0.200	1481.879	1552.698	2084.760	3072.363	4023.546
0.300	1809.235	2034.965	3548.870	4895.935	6745.018
0.400	2186.063	2778.860	5025.388	6629.087	8667.592
0.500	2515.786	3536.245	6115.926	7112.491	8682.271
0.600	3100.955	3764.429	5735.059	6923.036	7079.216
0.700	3305.038	3892.470	4569.140	3952.208	6524.918
0.800	3205.190	4003.458	4827.383	3905.840	5061.703
0.900	3324.504	3973.368	4587.269	4042.828	4798.417
1.000	3388.077	4082.221	4534.759	4351.078	3870.541
1.100	3689.714	3592.359	4501.864	4506.670	3574.526
1.200	3527.790	3370.313	4405.781	4387.036	3581.414
1.300	3396.854	3266.524	4551.296	4242.526	3911.629
1.400	3337.298	3317.690	4585.012	3972.537	3913.220
1.500	3532.695	4302.966	3857.593	3961.282	3847.213
